system_id,catalog_name,planet_idx,spectral_type,stellar_mass,mass_earth,radius_earth,sma_au,ecc,inc_deg,eq_temp_k,class,type
4,AI-3416,2,M5,0.1698,3.9189,2.1118,0.0208,0.0166,2.34,696,Transitional,Mini-Neptune
4,AI-3416,3,M5,0.1698,0.7721,0.8902,0.0446,0.0094,2.26,475,Rocky,Desert
4,AI-3416,4,M5,0.1698,3.0130,1.8254,0.2402,0.1189,1.44,205,Transitional,Mini-Neptune
5,RL-3621,0,M6,0.1376,1.0939,1.0871,0.0403,0.0075,1.23,443,Rocky,Desert
5,RL-3621,1,M6,0.1376,3.6624,1.7019,0.0808,0.0752,1.42,313,Transitional,Mini-Neptune
5,RL-3621,2,M6,0.1376,0.1545,0.5769,0.1324,0.0775,4.05,244,Rocky,Sub-Earth
5,RL-3621,3,M6,0.1376,0.0000,0.0650,3.1028,0.2684,24.05,50,Rocky,Frozen
5,RL-3621,4,M6,0.1376,0.0000,0.0694,3.6237,0.2155,22.46,47,Rocky,Frozen
5,RL-3621,5,M6,0.1376,0.0000,0.0508,5.5422,0.2906,14.36,38,Rocky,KBO
5,RL-3621,6,M6,0.1376,0.0001,0.0899,7.6923,0.2581,17.43,32,Rocky,Dwarf Planet
5,RL-3621,7,M6,0.1376,0.0002,0.1191,8.4559,0.0690,6.05,31,Rocky,Dwarf Planet
5,RL-3621,8,M6,0.1376,0.0000,0.0499,9.4394,0.1386,3.72,29,Rocky,KBO
6,EJ-2267,0,M4,0.2137,0.9031,0.9420,0.0024,0.0085,4.83,2350,Rocky,Lava World
6,EJ-2267,1,M4,0.2137,0.0938,0.5505,0.0063,0.0105,2.18,1445,Rocky,Sub-Earth
6,EJ-2267,2,M4,0.2137,1.0938,1.0095,0.0110,0.0121,3.58,1089,Rocky,Desert
6,EJ-2267,3,M4,0.2137,0.0170,0.3546,0.0293,0.0082,1.58,668,Rocky,Sub-Earth
6,EJ-2267,4,M4,0.2137,0.1147,0.5268,0.0524,0.0061,0.99,500,Rocky,Sub-Earth
6,EJ-2267,5,M4,0.2137,0.0414,0.4500,0.1455,0.1192,2.49,300,Rocky,Sub-Earth
6,EJ-2267,6,M4,0.2137,0.0935,0.5664,0.3555,0.0705,2.80,192,Rocky,Frozen
6,EJ-2267,7,M4,0.2137,0.0006,0.1606,7.0694,0.0765,0.31,43,Rocky,Dwarf Planet
6,EJ-2267,8,M4,0.2137,0.0001,0.0856,7.2686,0.1455,14.60,42,Rocky,KBO
6,EJ-2267,9,M4,0.2137,0.0001,0.0912,8.5785,0.2966,9.06,39,Rocky,Dwarf Planet
6,EJ-2267,10,M4,0.2137,0.0006,0.1430,8.8274,0.0923,15.39,39,Rocky,Dwarf Planet
6,EJ-2267,11,M4,0.2137,0.0000,0.0536,9.2902,0.1658,16.38,38,Rocky,KBO
6,EJ-2267,12,M4,0.2137,0.0001,0.1035,10.0188,0.2308,11.56,36,Rocky,Dwarf Planet
6,EJ-2267,13,M4,0.2137,0.0003,0.1353,11.6676,0.2524,11.19,34,Rocky,Dwarf Planet
6,EJ-2267,14,M4,0.2137,0.0000,0.0723,13.2641,0.0899,13.78,31,Rocky,KBO
7,SC-4513,0,M6,0.1523,0.2361,0.7270,0.0460,0.0084,1.56,439,Rocky,Sub-Earth
7,SC-4513,1,M6,0.1523,3.4453,1.7778,0.0792,0.0641,1.43,335,Transitional,Mini-Neptune
7,SC-4513,2,M6,0.1523,2.4576,1.5248,0.1747,0.1476,1.68,225,Transitional,Hycean
7,SC-4513,3,M6,0.1523,11.8042,2.8290,1.8699,0.1705,2.07,69,Volatile,Ice Giant
7,SC-4513,4,M6,0.1523,16.1850,2.5792,3.0398,0.1973,2.96,54,Volatile,Ice Giant
7,SC-4513,5,M6,0.1523,0.0001,0.0901,3.5029,0.2929,18.69,50,Rocky,Frozen
7,SC-4513,6,M6,0.1523,0.0024,0.2111,3.6825,0.2692,6.15,49,Rocky,Frozen
7,SC-4513,7,M6,0.1523,0.0002,0.1147,4.9798,0.0944,26.05,42,Rocky,Dwarf Planet
7,SC-4513,8,M6,0.1523,0.0000,0.0544,5.1541,0.2410,12.79,41,Rocky,KBO
7,SC-4513,9,M6,0.1523,0.0022,0.2347,5.5874,0.1970,0.71,40,Rocky,Dwarf Planet
7,SC-4513,10,M6,0.1523,0.0000,0.0500,6.4117,0.2317,9.32,37,Rocky,KBO
7,SC-4513,11,M6,0.1523,0.0000,0.0503,7.7239,0.1612,9.18,34,Rocky,KBO
7,SC-4513,12,M6,0.1523,0.0054,0.2882,8.2858,0.1690,25.73,33,Rocky,Dwarf Planet
7,SC-4513,13,M6,0.1523,0.0001,0.0989,8.5943,0.0876,13.50,32,Rocky,Dwarf Planet
7,SC-4513,14,M6,0.1523,0.0000,0.0499,10.2227,0.2155,26.79,29,Rocky,KBO
7,SC-4513,15,M6,0.1523,0.0001,0.0751,11.3775,0.2030,27.83,28,Rocky,KBO
8,BT-4045,0,M0,0.4324,2.6441,1.8573,0.0060,0.0156,3.02,2224,Transitional,Super-Terran
8,BT-4045,1,M0,0.4324,1.5334,1.0755,0.0314,0.0068,0.57,968,Rocky,Desert
8,BT-4045,2,M0,0.4324,0.9747,0.9245,0.1400,0.0393,2.67,459,Rocky,Desert
8,BT-4045,3,M0,0.4324,0.1649,0.5052,0.5395,0.0620,5.09,234,Rocky,Sub-Earth
9,NU-9581,0,M4,0.1910,0.0494,0.4633,0.0026,0.0136,1.99,2096,Rocky,Sub-Earth
9,NU-9581,1,M4,0.1910,0.6206,0.8559,0.0076,0.0061,1.36,1232,Rocky,Desert
9,NU-9581,2,M4,0.1910,4.1207,1.6722,0.0206,0.0108,1.46,747,Transitional,Mini-Neptune
9,NU-9581,3,M4,0.1910,0.7789,1.0044,0.0673,0.0361,5.22,414,Rocky,Desert
9,NU-9581,4,M4,0.1910,0.0273,0.4039,0.1834,0.0831,4.14,251,Rocky,Sub-Earth
10,US-1396,0,M8,0.0864,17.1852,2.9538,0.8378,0.2687,1.99,74,Volatile,Ice Giant
10,US-1396,1,M8,0.0864,0.0000,0.0568,2.0577,0.0906,12.54,47,Rocky,Frozen
10,US-1396,2,M8,0.0864,0.0001,0.0974,2.4368,0.1538,7.90,44,Rocky,Frozen
10,US-1396,3,M8,0.0864,0.0000,0.0562,2.7730,0.1566,7.38,41,Rocky,Frozen
10,US-1396,4,M8,0.0864,0.0011,0.1667,3.7130,0.0744,3.95,35,Rocky,Dwarf Planet
10,US-1396,5,M8,0.0864,0.0000,0.0529,3.8177,0.2385,15.79,35,Rocky,KBO
10,US-1396,6,M8,0.0864,0.0017,0.2176,4.0775,0.2814,26.42,34,Rocky,Dwarf Planet
10,US-1396,7,M8,0.0864,0.0000,0.0507,6.2130,0.1224,9.91,27,Rocky,KBO
10,US-1396,8,M8,0.0864,0.0086,0.3211,6.2662,0.2767,27.66,27,Rocky,Dwarf Planet
10,US-1396,9,M8,0.0864,0.0001,0.0891,6.4313,0.2672,25.15,27,Rocky,Dwarf Planet
11,KR-2954,0,M5,0.1621,0.0211,0.3313,0.1172,0.0790,0.83,285,Rocky,Sub-Earth
11,KR-2954,1,M5,0.1621,0.0053,0.2738,3.5914,0.2022,4.66,52,Rocky,Frozen
11,KR-2954,2,M5,0.1621,0.0000,0.0515,4.2710,0.1364,14.60,47,Rocky,KBO
11,KR-2954,3,M5,0.1621,0.0000,0.0626,5.1396,0.1917,12.97,43,Rocky,KBO
11,KR-2954,4,M5,0.1621,0.0001,0.1007,6.1051,0.2024,17.67,40,Rocky,Dwarf Planet
11,KR-2954,5,M5,0.1621,0.0000,0.0477,6.8762,0.2556,1.55,37,Rocky,KBO
11,KR-2954,6,M5,0.1621,0.0002,0.1145,7.1370,0.2745,6.15,37,Rocky,Dwarf Planet
11,KR-2954,7,M5,0.1621,0.0000,0.0552,8.0072,0.0777,13.65,35,Rocky,KBO
11,KR-2954,8,M5,0.1621,0.0000,0.0580,9.6235,0.0531,11.88,31,Rocky,KBO
11,KR-2954,9,M5,0.1621,0.0000,0.0627,10.0352,0.1268,22.28,31,Rocky,KBO
11,KR-2954,10,M5,0.1621,0.0000,0.0508,10.1168,0.2362,13.69,31,Rocky,KBO
11,KR-2954,11,M5,0.1621,0.0001,0.0957,12.1154,0.2448,11.82,28,Rocky,Dwarf Planet
12,BR-1449,0,M3,0.2340,2.5015,1.9042,0.1113,0.0805,0.39,361,Transitional,Mini-Neptune
12,BR-1449,1,M3,0.2340,0.4002,0.8393,0.1870,0.0977,1.92,279,Rocky,Sub-Earth
13,FD-6313,0,M3,0.2649,0.1274,0.5414,0.0061,0.0076,0.84,1661,Rocky,Sub-Earth
13,FD-6313,1,M3,0.2649,0.0603,0.4639,0.0146,0.0067,0.40,1070,Rocky,Sub-Earth
13,FD-6313,2,M3,0.2649,1.8246,1.1451,0.1004,0.0492,2.13,409,Rocky,Desert
13,FD-6313,3,M3,0.2649,1.1306,1.1043,0.1966,0.0812,2.60,292,Rocky,Terran
13,FD-6313,4,M3,0.2649,0.0000,0.0481,5.9591,0.1042,23.80,53,Rocky,KBO
13,FD-6313,5,M3,0.2649,0.0002,0.1080,7.5883,0.2199,18.22,47,Rocky,Dwarf Planet
13,FD-6313,6,M3,0.2649,0.0006,0.1458,8.7248,0.0876,12.75,44,Rocky,Dwarf Planet
13,FD-6313,7,M3,0.2649,0.0001,0.1085,8.9332,0.1820,14.99,43,Rocky,Dwarf Planet
13,FD-6313,8,M3,0.2649,0.0000,0.0546,10.9923,0.1441,4.38,39,Rocky,KBO
13,FD-6313,9,M3,0.2649,0.0013,0.2028,12.7566,0.0926,2.07,36,Rocky,Dwarf Planet
13,FD-6313,10,M3,0.2649,0.0001,0.1017,16.4305,0.2295,8.10,32,Rocky,Dwarf Planet
13,FD-6313,11,M3,0.2649,0.0001,0.0832,22.2036,0.1952,3.03,27,Rocky,KBO
13,FD-6313,12,M3,0.2649,0.0000,0.0618,22.7931,0.1196,5.87,27,Rocky,KBO
14,SZ-3019,0,M3,0.2570,1.0499,0.9800,0.0035,0.0084,1.69,2165,Rocky,Lava World
14,SZ-3019,1,M3,0.2570,0.1971,0.6893,0.0176,0.0085,2.63,961,Rocky,Sub-Earth
14,SZ-3019,2,M3,0.2570,3.1474,2.0102,0.0883,0.1058,1.27,428,Transitional,Mini-Neptune
14,SZ-3019,3,M3,0.2570,3.2665,1.7432,0.2562,0.1156,0.34,251,Transitional,Mini-Neptune
15,ZD-0185,0,M1,0.3848,1.6994,1.2053,0.0046,0.0107,0.41,2357,Rocky,Lava World
15,ZD-0185,1,M1,0.3848,2.9731,1.2806,0.0112,0.0109,1.11,1518,Transitional,Super-Terran
15,ZD-0185,2,M1,0.3848,0.0525,0.4625,0.0286,0.0086,3.77,949,Rocky,Sub-Earth
15,ZD-0185,3,M1,0.3848,4.6298,2.0140,0.0587,0.0089,0.77,663,Transitional,Mini-Neptune
15,ZD-0185,4,M1,0.3848,2.6193,1.4150,0.1269,0.0655,2.49,451,Transitional,Mini-Neptune
15,ZD-0185,5,M1,0.3848,1.0137,0.9614,0.2221,0.0767,1.23,341,Rocky,Terran
15,ZD-0185,6,M1,0.3848,0.0125,0.2503,0.6820,0.0762,2.19,194,Rocky,Frozen
15,ZD-0185,7,M1,0.3848,208.8540,10.4563,3.8786,0.4171,2.41,82,Giant,Gas Giant
15,ZD-0185,8,M1,0.3848,0.0001,0.1016,10.0696,0.0559,1.30,51,Rocky,Dwarf Planet
15,ZD-0185,9,M1,0.3848,0.0008,0.1645,11.2830,0.0671,2.89,48,Rocky,Dwarf Planet
15,ZD-0185,10,M1,0.3848,0.0000,0.0503,16.1760,0.2343,14.71,40,Rocky,KBO
15,ZD-0185,11,M1,0.3848,0.0001,0.0792,21.8798,0.0698,5.39,34,Rocky,KBO
15,ZD-0185,12,M1,0.3848,0.0001,0.0874,26.4425,0.0511,20.04,31,Rocky,KBO
15,ZD-0185,13,M1,0.3848,0.0000,0.0552,26.5927,0.0933,25.30,31,Rocky,KBO
15,ZD-0185,14,M1,0.3848,0.0062,0.3115,28.6872,0.0687,6.40,30,Rocky,Dwarf Planet
15,ZD-0185,15,M1,0.3848,0.0001,0.1021,28.9287,0.1776,25.87,30,Rocky,Dwarf Planet
15,ZD-0185,16,M1,0.3848,0.0000,0.0677,29.0239,0.0504,14.35,30,Rocky,KBO
15,ZD-0185,17,M1,0.3848,0.0002,0.1060,33.9692,0.1375,10.32,28,Rocky,Dwarf Planet
16,LE-0022,0,M5,0.1841,0.5696,0.8788,0.0025,0.0062,0.91,2121,Rocky,Lava World
16,LE-0022,1,M5,0.1841,0.1458,0.6086,0.0059,0.0070,1.89,1366,Rocky,Sub-Earth
16,LE-0022,2,M5,0.1841,4.8605,1.6208,0.0214,0.0134,1.31,718,Transitional,Mini-Neptune
16,LE-0022,3,M5,0.1841,0.3886,0.9246,0.0629,0.0304,1.37,419,Rocky,Sub-Earth
16,LE-0022,4,M5,0.1841,3.1896,1.6286,0.2070,0.1104,0.33,231,Transitional,Hycean
17,GZ-6408,0,M2,0.3094,0.2025,0.5574,0.0032,0.0059,2.18,2511,Rocky,Sub-Earth
17,GZ-6408,1,M2,0.3094,0.1975,0.6103,0.0097,0.0102,2.62,1434,Rocky,Sub-Earth
17,GZ-6408,2,M2,0.3094,1.4087,1.1186,0.0151,0.0083,3.47,1151,Rocky,Desert
17,GZ-6408,3,M2,0.3094,0.1522,0.6197,0.0328,0.0059,1.42,782,Rocky,Sub-Earth
17,GZ-6408,4,M2,0.3094,0.1600,0.6157,0.0903,0.0647,1.78,471,Rocky,Sub-Earth
17,GZ-6408,5,M2,0.3094,4.2875,1.8464,0.1713,0.1228,0.99,342,Transitional,Mini-Neptune
17,GZ-6408,6,M2,0.3094,0.0554,0.4773,0.4544,0.0798,2.40,210,Rocky,Sub-Earth
18,XI-2268,0,M4,0.2048,0.0512,0.4830,0.0026,0.0076,2.46,2172,Rocky,Sub-Earth
18,XI-2268,1,M4,0.2048,0.7384,0.9096,0.0140,0.0078,1.50,945,Rocky,Desert
18,XI-2268,2,M4,0.2048,0.0150,0.3075,0.0665,0.0458,1.57,433,Rocky,Sub-Earth
18,XI-2268,3,M4,0.2048,1.1668,0.9691,0.2554,0.0638,1.85,221,Rocky,Terran
19,LQ-2751,0,M3,0.2436,29.7300,3.5886,0.2179,0.2593,1.45,264,Volatile,Warm Neptune
19,LQ-2751,1,M3,0.2436,0.0000,0.0573,6.4043,0.1469,14.20,49,Rocky,KBO
19,LQ-2751,2,M3,0.2436,0.0001,0.0789,7.5231,0.2887,20.31,45,Rocky,KBO
19,LQ-2751,3,M3,0.2436,0.0008,0.1620,8.3509,0.1838,13.13,43,Rocky,Dwarf Planet
19,LQ-2751,4,M3,0.2436,0.0000,0.0520,8.5898,0.0794,14.90,42,Rocky,KBO
19,LQ-2751,5,M3,0.2436,0.0001,0.1025,10.9008,0.1821,11.16,37,Rocky,Dwarf Planet
19,LQ-2751,6,M3,0.2436,0.0007,0.1643,11.0608,0.1729,11.38,37,Rocky,Dwarf Planet
19,LQ-2751,7,M3,0.2436,0.0002,0.1149,11.5211,0.2581,5.04,36,Rocky,Dwarf Planet
19,LQ-2751,8,M3,0.2436,0.0000,0.0687,13.6600,0.0622,28.46,33,Rocky,KBO
19,LQ-2751,9,M3,0.2436,0.0000,0.0566,14.3145,0.2893,10.91,33,Rocky,KBO
19,LQ-2751,10,M3,0.2436,0.0000,0.0743,17.1444,0.2855,11.82,30,Rocky,KBO
19,LQ-2751,11,M3,0.2436,0.0000,0.0639,18.3772,0.2563,13.14,29,Rocky,KBO
19,LQ-2751,12,M3,0.2436,0.0000,0.0633,20.0042,0.2092,16.45,28,Rocky,KBO
20,RC-4279,0,M8,0.0940,1.4536,1.0913,0.0010,0.0093,1.53,2295,Rocky,Lava World
20,RC-4279,1,M8,0.0940,1.2410,1.0914,0.0030,0.0110,1.86,1298,Rocky,Desert
20,RC-4279,2,M8,0.0940,2.0253,1.5850,0.0055,0.0230,2.57,962,Transitional,Super-Terran
20,RC-4279,3,M8,0.0940,3.0350,2.0331,0.0157,0.0130,2.06,570,Transitional,Mini-Neptune
20,RC-4279,4,M8,0.0940,1.5317,1.3332,0.0336,0.0100,2.59,389,Rocky,Desert
20,RC-4279,5,M8,0.0940,0.0187,0.3589,0.1320,0.0644,1.36,197,Rocky,Frozen
21,GO-1478,0,M8,0.0802,0.0001,0.1021,1.6668,0.1011,9.17,50,Rocky,Frozen
21,GO-1478,1,M8,0.0802,0.0005,0.1358,1.8078,0.2914,10.78,48,Rocky,Frozen
21,GO-1478,2,M8,0.0802,0.0000,0.0518,2.2389,0.0913,21.32,44,Rocky,Frozen
21,GO-1478,3,M8,0.0802,0.0001,0.0898,2.5038,0.1273,3.45,41,Rocky,Frozen
21,GO-1478,4,M8,0.0802,0.0000,0.0600,2.5726,0.1159,3.77,41,Rocky,Frozen
21,GO-1478,5,M8,0.0802,0.0006,0.1623,2.6961,0.2437,16.12,40,Rocky,Frozen
21,GO-1478,6,M8,0.0802,0.0000,0.0653,2.8400,0.2362,10.19,39,Rocky,KBO
21,GO-1478,7,M8,0.0802,0.0009,0.1573,3.3850,0.1911,21.93,35,Rocky,Dwarf Planet
21,GO-1478,8,M8,0.0802,0.0005,0.1369,3.4363,0.1941,14.28,35,Rocky,Dwarf Planet
21,GO-1478,9,M8,0.0802,0.0000,0.0490,3.7560,0.2533,8.04,34,Rocky,KBO
22,OZ-2742,0,M1,0.3525,2.5130,1.6742,0.1197,0.0535,1.84,441,Transitional,Mini-Neptune
22,OZ-2742,1,M1,0.3525,1.5306,1.2119,0.2263,0.0888,0.90,321,Rocky,Terran
22,OZ-2742,2,M1,0.3525,0.3805,0.7799,0.5626,0.0755,0.70,203,Rocky,Sub-Earth
23,OR-3767,0,M7,0.1176,2.5506,1.5917,0.0011,0.0162,0.77,2422,Transitional,Water World
23,OR-3767,1,M7,0.1176,1.9080,1.1416,0.0032,0.0092,2.24,1442,Rocky,Desert
23,OR-3767,2,M7,0.1176,2.5766,1.5528,0.0067,0.0158,3.22,992,Transitional,Super-Terran
23,OR-3767,3,M7,0.1176,2.9465,1.9761,0.0215,0.0119,2.08,554,Transitional,Mini-Neptune
23,OR-3767,4,M7,0.1176,0.4096,0.7649,0.0423,0.0084,1.84,395,Rocky,Sub-Earth
23,OR-3767,5,M7,0.1176,0.9594,0.9227,0.1555,0.0934,1.53,206,Rocky,Terran
24,ZR-8865,0,K4,0.6861,0.3405,0.7695,0.0084,0.0078,1.42,2444,Rocky,Sub-Earth
24,ZR-8865,1,K4,0.6861,0.4893,0.8279,0.0333,0.0068,1.39,1226,Rocky,Sub-Earth
24,ZR-8865,2,K4,0.6861,0.0962,0.5514,0.0765,0.0068,2.04,809,Rocky,Sub-Earth
24,ZR-8865,3,K4,0.6861,2.3876,1.4347,0.2855,0.1504,2.33,419,Transitional,Mini-Neptune
24,ZR-8865,4,K4,0.6861,0.9448,1.0204,1.0856,0.1165,0.89,215,Rocky,Terran
25,ZZ-5891,0,M6,0.1525,2.2299,1.6178,0.0027,0.0181,2.43,1810,Transitional,Super-Terran
25,ZZ-5891,1,M6,0.1525,0.0711,0.5253,0.0076,0.0110,1.64,1080,Rocky,Sub-Earth
25,ZZ-5891,2,M6,0.1525,0.2245,0.6984,0.0256,0.0086,1.83,589,Rocky,Sub-Earth
25,ZZ-5891,3,M6,0.1525,0.0595,0.4966,0.1051,0.1077,2.28,291,Rocky,Sub-Earth
25,ZZ-5891,4,M6,0.1525,0.0000,0.0468,3.4297,0.0692,20.38,51,Rocky,Frozen
25,ZZ-5891,5,M6,0.1525,0.0000,0.0555,3.9381,0.1870,17.12,48,Rocky,KBO
25,ZZ-5891,6,M6,0.1525,0.0000,0.0615,5.8190,0.2888,22.79,39,Rocky,KBO
25,ZZ-5891,7,M6,0.1525,0.0001,0.0972,6.1748,0.2528,23.67,38,Rocky,Dwarf Planet
25,ZZ-5891,8,M6,0.1525,0.0003,0.1163,6.7655,0.1968,7.22,36,Rocky,Dwarf Planet
25,ZZ-5891,9,M6,0.1525,0.0013,0.2014,7.3450,0.2984,17.66,35,Rocky,Dwarf Planet
25,ZZ-5891,10,M6,0.1525,0.0000,0.0480,9.0946,0.1396,10.60,31,Rocky,KBO
25,ZZ-5891,11,M6,0.1525,0.0000,0.0584,9.7224,0.2019,10.26,30,Rocky,KBO
25,ZZ-5891,12,M6,0.1525,0.0000,0.0571,11.2353,0.1916,5.31,28,Rocky,KBO
25,ZZ-5891,13,M6,0.1525,0.0000,0.0728,11.8906,0.0598,0.48,27,Rocky,KBO
26,NC-6788,0,M1,0.3787,85.5509,5.3398,0.1415,0.2040,1.79,423,Volatile,Puffy Saturn
26,NC-6788,1,M1,0.3787,15.4337,2.8026,7.6571,0.2424,1.51,57,Volatile,Ice Giant
26,NC-6788,2,M1,0.3787,0.0001,0.1001,9.4213,0.0888,21.41,52,Rocky,Dwarf Planet
26,NC-6788,3,M1,0.3787,0.0000,0.0740,9.4840,0.1710,28.17,52,Rocky,KBO
26,NC-6788,4,M1,0.3787,0.0000,0.0753,12.9085,0.0954,12.99,44,Rocky,KBO
26,NC-6788,5,M1,0.3787,0.0001,0.0769,14.1647,0.2659,1.51,42,Rocky,KBO
26,NC-6788,6,M1,0.3787,0.0007,0.1527,24.7287,0.1872,13.51,32,Rocky,Dwarf Planet
26,NC-6788,7,M1,0.3787,0.0052,0.2863,25.6434,0.2037,0.02,31,Rocky,Dwarf Planet
26,NC-6788,8,M1,0.3787,0.0002,0.1108,27.4196,0.2681,12.13,30,Rocky,Dwarf Planet
26,NC-6788,9,M1,0.3787,0.0001,0.0883,31.0788,0.0965,2.78,29,Rocky,KBO
26,NC-6788,10,M1,0.3787,0.0000,0.0547,31.8189,0.2296,4.33,28,Rocky,KBO
26,NC-6788,11,M1,0.3787,747.6759,15.1045,97.7333,0.3188,0.56,16,Giant,Gas Giant
27,NW-1660,0,M4,0.2074,4.9807,1.7249,0.0021,0.0089,1.92,2467,Transitional,Super-Terran
27,NW-1660,1,M4,0.2074,0.4943,0.8589,0.0074,0.0104,2.38,1308,Rocky,Sub-Earth
27,NW-1660,2,M4,0.2074,0.2053,0.6335,0.0315,0.0130,2.11,634,Rocky,Sub-Earth
27,NW-1660,3,M4,0.2074,0.0861,0.5375,0.1076,0.0497,1.24,343,Rocky,Sub-Earth
27,NW-1660,4,M4,0.2074,0.2052,0.6306,0.2235,0.1156,0.83,238,Rocky,Sub-Earth
27,NW-1660,5,M4,0.2074,0.0002,0.1080,4.7885,0.1430,0.12,51,Rocky,Dwarf Planet
27,NW-1660,6,M4,0.2074,0.0001,0.0945,5.2814,0.1436,8.27,49,Rocky,KBO
27,NW-1660,7,M4,0.2074,0.0031,0.2288,5.3019,0.2506,23.09,49,Rocky,Dwarf Planet
27,NW-1660,8,M4,0.2074,0.0000,0.0649,7.1318,0.2604,25.94,42,Rocky,KBO
27,NW-1660,9,M4,0.2074,0.0001,0.0872,7.7308,0.1780,24.27,40,Rocky,KBO
27,NW-1660,10,M4,0.2074,0.0001,0.0914,7.8187,0.2764,2.65,40,Rocky,KBO
27,NW-1660,11,M4,0.2074,0.0091,0.3443,9.3240,0.1246,26.60,37,Rocky,Dwarf Planet
27,NW-1660,12,M4,0.2074,0.0000,0.0540,10.6046,0.2354,5.76,35,Rocky,KBO
27,NW-1660,13,M4,0.2074,0.0025,0.2119,10.6467,0.2243,5.88,34,Rocky,Dwarf Planet
27,NW-1660,14,M4,0.2074,0.0000,0.0837,12.4884,0.2356,24.57,32,Rocky,KBO
27,NW-1660,15,M4,0.2074,0.0013,0.1965,12.6986,0.2400,8.18,32,Rocky,Dwarf Planet
28,IG-0116,0,K7,0.5621,7.2900,2.8164,1.6806,0.1590,1.49,154,Volatile,Warm Neptune
29,SD-1500,0,M5,0.1666,3.6858,1.9930,0.0023,0.0161,2.45,2072,Transitional,Super-Terran
29,SD-1500,1,M5,0.1666,0.0213,0.3557,0.0072,0.0099,1.51,1166,Rocky,Sub-Earth
29,SD-1500,2,M5,0.1666,2.8642,1.9021,0.0236,0.0093,3.81,646,Transitional,Mini-Neptune
29,SD-1500,3,M5,0.1666,1.6714,1.2004,0.0785,0.0436,2.76,354,Rocky,Desert
29,SD-1500,4,M5,0.1666,0.0127,0.2615,0.1348,0.0908,1.16,270,Rocky,Sub-Earth
30,DF-0175,0,M3,0.2330,2.0473,1.5949,0.2817,0.1579,0.46,227,Transitional,Hycean
30,DF-0175,1,M3,0.2330,279.5945,11.3124,0.9075,0.2555,1.79,126,Giant,Gas Giant
30,DF-0175,2,M3,0.2330,72.2903,4.9105,2.6221,0.1270,0.84,74,Volatile,Ice Giant
31,WE-9639,0,M7,0.0980,0.0760,0.5210,0.0015,0.0085,2.09,1913,Rocky,Sub-Earth
31,WE-9639,1,M7,0.0980,1.6758,1.1001,0.0034,0.0060,3.70,1257,Rocky,Desert
31,WE-9639,2,M7,0.0980,0.6083,0.8658,0.0100,0.0099,1.83,732,Rocky,Desert
31,WE-9639,3,M7,0.0980,2.3675,1.5458,0.0420,0.0796,2.50,357,Transitional,Mini-Neptune
31,WE-9639,4,M7,0.0980,1.9277,1.1193,0.1144,0.1033,3.75,216,Rocky,Terran
